fq_name	module	kind	uses_sorry	pretty_type_uncurried	pretty_type_unfolded	unfold_status
LRA.Set.Subcover	LRA.Set.Interface.Definitions.Families	instance	false	∀ {SetObject : Type v} {Collection : Type w} [inst : HasSubset SetObject] [inst_1 : HasSubset Collection]   [inst_2 : LRA.Set.HasCollectionUnion SetObject Collection] (subcollection collection : Collection)   (target : SetObject), And (inst_1.Subset subcollection collection) (LRA.Set.Covers subcollection target)	∀ {SetObject : Type v} {Collection : Type w} [inst : HasSubset SetObject] [inst_1 : HasSubset Collection]   [inst_2 : LRA.Set.HasCollectionUnion SetObject Collection] (subcollection collection : Collection)   (target : SetObject), And (inst_1.1 subcollection collection) (inst.1 target (inst_2.1 subcollection))	ok
LRA.Set.Covers	LRA.Set.Interface.Definitions.Families	instance	false	∀ {SetObject : Type v} {Collection : Type w} [inst : HasSubset SetObject]   [inst_1 : LRA.Set.HasCollectionUnion SetObject Collection] (collection : Collection) (target : SetObject),   inst.1 target (inst_1.collectionUnion collection)	∀ {SetObject : Type v} {Collection : Type w} [inst : HasSubset SetObject]   [inst_1 : LRA.Set.HasCollectionUnion SetObject Collection] (collection : Collection) (target : SetObject),   inst.1 target (inst_1.1 collection)	ok
LRA.Set.IsPairwise	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (member : Pair),   inst_1.mem relation member → Exists fun input => Exists fun output => Eq member (LRA.Set.OrderedPair input output)	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (member : Pair),   inst_1.1 relation member → Exists fun input => Exists fun output => Eq member (inst.1 input output)	ok
LRA.Set.IsExtensionOf	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ {RelationObject : Type v} [inst : HasSubset RelationObject] (extension relation : RelationObject),   inst.1 relation extension	∀ {RelationObject : Type v} [inst : HasSubset RelationObject] (extension relation : RelationObject),   inst.1 relation extension	ok
LRA.Set.IsSingleValued	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (input : Left)   (firstOutput secondOutput : Right),   And (LRA.Set.Relates relation input firstOutput) (LRA.Set.Relates relation input secondOutput) →     Eq firstOutput secondOutput	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (input : Left)   (firstOutput secondOutput : Right),   And (inst_1.1 relation (inst.1 input firstOutput)) (inst_1.1 relation (inst.1 input secondOutput)) →     Eq firstOutput secondOutput	ok
LRA.Set.Relates	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ {Left Right Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (input : Left) (output : Right),   inst_1.1 relation (LRA.Set.OrderedPair input output)	∀ {Left Right Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject) (input : Left) (output : Right),   inst_1.1 relation (inst.1 input output)	ok
LRA.Set.IsFunctionalSet	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject),   And (LRA.Set.IsPairwise Left Right relation) (LRA.Set.IsSingleValued Left Right relation)	∀ (Left Right : Type u) {Pair : Type u} {RelationObject : Type v} [inst : LRA.Set.HasPairing Left Right Pair]   [inst_1 : Membership Pair RelationObject] (relation : RelationObject),   And     (∀ (member : Pair),       inst_1.1 relation member → Exists fun input => Exists fun output => Eq member (inst.1 input output))     (∀ (input : Left) (firstOutput secondOutput : Right),       inst_1.1 relation (inst.1 input firstOutput) →         inst_1.1 relation (inst.1 input secondOutput) → Eq firstOutput secondOutput)	ok
LRA.Set.IsTotalOn	LRA.Set.Interface.Definitions.RelationSets	instance	false	∀ (Right : Type u) {Left Pair : Type u} {RelationObject DomainObject : Type v}   [inst : LRA.Set.HasPairing Left Right Pair] [inst_1 : Membership Pair RelationObject]   [inst_2 : Membership Left DomainObject] (relation : RelationObject) (domain : DomainObject) (input : Left),   inst_2.mem domain input → Exists fun output => LRA.Set.Relates relation input output	∀ (Right : Type u) {Left Pair : Type u} {RelationObject DomainObject : Type v}   [inst : LRA.Set.HasPairing Left Right Pair] [inst_1 : Membership Pair RelationObject]   [inst_2 : Membership Left DomainObject] (relation : RelationObject) (domain : DomainObject) (input : Left),   inst_2.1 domain input → Exists fun output => inst_1.1 relation (inst.1 input output)	ok
LRA.Set.EmptyMembership	LRA.Set.Interface.Laws.Membership	theorem	true	∀ {Element : Type u} {SetObject : Type v} [inst : Membership Element SetObject] [inst_1 : Union SetObject]   [inst_2 : Inter SetObject] [inst_3 : SDiff SetObject] [inst_4 : EmptyCollection SetObject]   [inst_5 : HasSubset SetObject],   LRA.Set.MembershipLaws Element SetObject → ∀ (x : Element), Not (inst.mem inst_4.emptyCollection x)	∀ {Element : Type u} {SetObject : Type v} [inst : Membership Element SetObject] [inst_1 : Union SetObject]   [inst_2 : Inter SetObject] [inst_3 : SDiff SetObject] [inst_4 : EmptyCollection SetObject]   [inst_5 : HasSubset SetObject], LRA.Set.MembershipLaws Element SetObject → ∀ (x : Element), inst.1 inst_4.1 x → False	ok
LRA.Set.DifferenceMembership	LRA.Set.Interface.Laws.Membership	theorem	true	∀ {Element : Type u} {SetObject : Type v} [inst : Membership Element SetObject] [inst_1 : Union SetObject]   [inst_2 : Inter SetObject] [inst_3 : SDiff SetObject] [inst_4 : EmptyCollection SetObject]   [inst_5 : HasSubset SetObject],   LRA.Set.MembershipLaws Element SetObject →     ∀ (A B : SetObject) (x : Element), Iff (inst.mem (inst_3.sdiff A B) x) (And (inst.mem A x) (Not (inst.mem B x)))	∀ {Element : Type u} {SetObject : Type v} [inst : Membership Element SetObject] [inst_1 : Union SetObject]   [inst_2 : Inter SetObject] [inst_3 : SDiff SetObject] [inst_4 : EmptyCollection SetObject]   [inst_5 : HasSubset SetObject],   LRA.Set.MembershipLaws Element SetObject →     ∀ (A B : SetObject) (x : Element), Iff (inst.1 (inst_3.1 A B) x) (And (inst.1 A x) (inst.1 B x → False))	ok
