fq_name	module	kind	uses_sorry	pretty_type_uncurried	pretty_type_unfolded	unfold_status
LRA.Identity.Distinct	LRA.Identity.Interface.Definitions.Distinctness	instance	false	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (left right : Carrier),   inst.Ident left right → False	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (left right : Carrier), inst.1 left right → False	ok
LRA.Identity.NotAtMostOne	LRA.Identity.Interface.Definitions.Witnesses	instance	false	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop),   Exists fun left => Exists fun right => And (P left) (And (P right) (LRA.Identity.Distinct left right))	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop),   Exists fun left => Exists fun right => And (P left) (And (P right) (inst.1 left right → False))	ok
LRA.Identity.ExactlyOne	LRA.Identity.Interface.Definitions.Witnesses	instance	false	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop),   And (LRA.Identity.HasWitness P) (LRA.Identity.AtMostOne P)	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop),   And (Exists fun x => P x) (∀ (left right : Carrier), P left → P right → inst.1 left right)	ok
LRA.Identity.HasNoWitness	LRA.Identity.Interface.Definitions.Witnesses	instance	false	∀ {Carrier : Type u} (P : Carrier → Prop), (Exists fun x => P x) → False	∀ {Carrier : Type u} (P : Carrier → Prop), (Exists fun x => P x) → False	ok
LRA.Identity.AtMostOne	LRA.Identity.Interface.Definitions.Witnesses	instance	false	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop) (left right : Carrier),   And (P left) (P right) → inst.Ident left right	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (P : Carrier → Prop) (left right : Carrier),   And (P left) (P right) → inst.1 left right	ok
LRA.Identity.HasWitness	LRA.Identity.Interface.Definitions.Witnesses	instance	false	∀ {Carrier : Type u} (P : Carrier → Prop), Exists fun x => P x	∀ {Carrier : Type u} (P : Carrier → Prop), Exists fun x => P x	ok
LRA.Identity.AtLeastTwo	LRA.Identity.Interface.Definitions.Cardinality	instance	false	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier],   Exists fun x => Exists fun y => LRA.Identity.Distinct x y	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier], Exists fun x => Exists fun y => inst.1 x y → False	ok
LRA.Identity.AtMostTwo	LRA.Identity.Interface.Definitions.Cardinality	instance	false	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier] (x y z : Carrier),   Or (inst.Ident x y) (Or (inst.Ident y z) (inst.Ident x z))	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier] (x y z : Carrier),   Or (inst.1 x y) (Or (inst.1 y z) (inst.1 x z))	ok
LRA.Identity.FullLeibniz	LRA.Identity.Interface.ModelTheory.Theory	instance	false	∀ (Carrier : Type u) (a : Carrier → Prop), True	∀ (Carrier : Type u) (a : Carrier → Prop), True	ok
LRA.Identity.EqualityDiagonal	LRA.Identity.Interface.ModelTheory.LStructure	instance	false	∀ (Carrier : Type u) (a a_1 : Carrier), Eq a a_1	∀ (Carrier : Type u) (a a_1 : Carrier), Eq a a_1	ok
LRA.Identity.IdentIsDiagonal	LRA.Identity.Bridges.Diagonal	theorem	false	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (x y : Carrier), Iff (inst.Ident x y) (Eq x y)	∀ {Carrier : Type u} [inst : LRA.Identity.IdentityRelation Carrier] (x y : Carrier), Iff (inst.1 x y) (Eq x y)	ok
LRA.Identity.IdentityRelation.satisfiesIdentityTheory	LRA.Identity.Theorems.ModelTheory	theorem	false	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier],   LRA.Identity.IdentityTheory (LRA.Identity.FullLeibniz Carrier) inst.Ident	∀ (Carrier : Type u) [inst : LRA.Identity.IdentityRelation Carrier], LRA.Identity.IdentityTheory (fun x => True) inst.1	ok
LRA.Identity.EqualityStructure.isDiagonal	LRA.Identity.Theorems.ModelTheory	theorem	false	∀ (S : LRA.Identity.EqualityStructure) (left right : S.Carrier),   Iff (S.equalityInterpretation left right) (LRA.Identity.EqualityDiagonal S.Carrier left right)	∀ (S : LRA.Identity.EqualityStructure) (left right : S.1), Iff (S.3 left right) (Eq left right)	ok
LRA.Identity.RelationTransitive	LRA.Identity.Interface.UniversalAlgebra.Congruence	instance	false	∀ {Carrier : Type u} (relation : Carrier → Carrier → Prop) {x y z : Carrier},   And (relation x y) (relation y z) → relation x z	∀ {Carrier : Type u} (relation : Carrier → Carrier → Prop) {x y z : Carrier},   And (relation x y) (relation y z) → relation x z	ok
LRA.Identity.RelationReflexive	LRA.Identity.Interface.UniversalAlgebra.Congruence	instance	false	∀ {Carrier : Type u} (relation : Carrier → Carrier → Prop) (x : Carrier), relation x x	∀ {Carrier : Type u} (relation : Carrier → Carrier → Prop) (x : Carrier), relation x x	ok
